2.350000	3.770000	1
5.140000	6.410000	3
8.280000	9.640000	4
11.140000	12.750000	6
14.000000	14.950000	7
16.490000	18.150000	9
19.300000	20.850000	11
22.230000	23.630000	12
25.180000	26.210000	13
27.730000	29.050000	15
30.760000	32.120000	16
34.010000	35.030000	17
37.130000	38.160000	18
40.160000	41.650000	19
43.280000	44.540000	20
46.480000	48.350000	21
49.470000	50.680000	22
52.440000	53.840000	23
55.830000	57.120000	24
57.120000	57.330000	25
59.110000	60.440000	26
62.310000	63.610000	27
63.610000	64.020000	28
65.350000	66.650000	29
68.500000	70.070000	30
71.660000	72.790000	31
74.720000	76.220000	32
77.650000	79.050000	33
80.480000	82.390000	34
83.660000	85.470000	35
86.950000	89.110000	36
90.350000	91.390000	37
93.470000	94.470000	38
96.420000	98.050000	39
