1.920000	2.986779	1
3.930000	5.170000	2
6.300000	7.040000	3
8.530000	9.380000	4
10.800000	11.610000	5
12.860000	13.720000	6
15.460000	16.470000	7
17.660000	18.500000	8
19.840000	20.840000	9
21.940000	22.650000	10
24.110000	25.060000	11
26.210000	26.810000	12
28.250000	28.810000	13
30.410000	31.280000	14
32.450000	33.220000	15
34.650000	35.320000	17
36.650000	37.780000	18
38.960000	39.760000	19
41.170000	41.830000	20
43.440000	44.530000	21
45.700000	46.630000	22
47.750000	48.560000	23
49.850000	50.310000	24
52.050000	52.790000	25
54.260000	54.630000	26
56.350000	57.860000	27
58.600000	58.950000	28
60.900000	61.910000	29
63.020000	63.610000	30
