3.850000	5.800000	1
6.440000	8.670000	2
9.190000	10.950000	3
11.970000	13.980000	4
14.590000	16.620000	5
17.370000	19.590000	6
20.100000	21.830000	7
22.800000	24.760000	8
25.460000	27.520000	9
28.330000	29.790000	10
30.790000	32.200000	11
33.340000	35.090000	12
36.010000	36.980000	13
38.860000	40.300000	14
41.610000	43.410000	15
44.340000	46.120000	16
47.050000	48.690000	17
49.710000	51.720000	18
52.490000	53.380000	19
54.930000	56.480000	21
57.640000	59.680000	22
60.340000	61.850000	23
62.910000	65.030000	24
65.630000	67.180000	25
68.380000	70.630000	26
71.430000	72.820000	27
74.290000	76.470000	28
77.190000	78.870000	29
80.110000	82.160000	30
83.200000	84.640000	31
86.100000	87.610000	32
88.950000	91.030000	33
91.890000	93.970000	34
94.950000	96.620000	35
